id,title,company,city,salary_min,salary_max,days_posted,title_short,seniority
12288906,Senior Investment Risk Analyst:in – Schwerpunkt Real Estate (Marktfolge),Ampega Asset Management GmbH,Köln,73000,96000,6,,Senior
12279315,Cloud Spezialist (m/w/d) – Cloud-/Security-Engineer,Ratbacher GmbH,"München, Esslingen",57000,83000,7,,
12207090,Consultant für CRM & Business Process Management Software (m/w/d),HKS Informatik GmbH,"Moers, Mannheim, Kühlungsborn,Tutzing",52000,72000,21,,
12327125,Chemielaborant/in (m/w/d) Gaschromatographie,Eurofins Umwelt Deutschland,Tübingen,,,14,,
11326170,"Projektmanager:in / Übersetzungsmanager:in (m/w/d) im internationalen Übersetzungsmanagement (Linguist:in, Übersetzer:in o. ä.)",oneword GmbH,Böblingen,38000,45000,14,,Intern
12257958,Elektriker / Elektroniker ‒ Wartung & Instandhaltung (m/w/d),TUNAP GmbH & Co. KG,Lichtenau,33000,38000,7,,
12327034,System und Anwendungsberater/in Connect Dental Service Center (m/w/d),Henry Schein Dental Deutschland GmbH,Langen (Hessen),55000,65000,14,,
12118239,IT-Supporter w/m/d 1st Level Support,HEUKING,"Düsseldorf, Frankfurt am Main, München",40000,45000,14,,
12327308,Junior Kalkulator (m/w/d),Borgel Elementbau GmbH,Hörstel,38000,52000,14,,Junior
12330774,IT Security Engineer (m/w/d) - Netzbetrieb,Pfalzwerke Netz AG,Ludwigshafen am Rhein,43000,64000,14,,
12326754,Mitarbeiter IT Servicedesk Onsite Support (w/m/d),Bechtle GmbH IT-Systemhaus Bremen,"Bremen, Wismar",33000,52000,14,,
12243625,Leiter/in Labor / Innovation / Entwicklung (m/w/d) (Chemiker / Chemieingenieur der Polymerchemie / Kolloidchemie o. ä.),ISL-Chemie GmbH,Kürten bei Köln,96000,110000,14,,
12336741,"Techniker Chemietechnik oder erfahrener Chemielaborant, Textillaborant als Labormitarbeiter (m/w/d) Flammschutz / Performance Chemicals",THOR GmbH,Speyer,43000,61000,7,,
12157461,Elektroniker als Servicetechniker im Außendienst | Großküchen mit Servicefahrzeug m/w/d,SPIE Efficient Facilities GmbH,Karlsruhe,37000,55000,7,,
8161926,CTA/Chemielaborant (m/w/d) für die Probenaufarbeitung,GALAB Laboratories GmbH,Hamburg,35000,48000,7,,
9877793,CTA/Chemielaborant (m/w/d) für die Auswertung in der Messtechnik,GALAB Laboratories GmbH,Hamburg,32000,44000,7,,
12333115,Chemielaborant / CTA (m/w/d),RAMPF Advanced Polymers GmbH & Co. KG,Grafenberg (bei Metzingen),35000,48000,14,,
12395922,Teamleiter (w/w/d) Digital Data Management Excellence,LKQ Stahlgruber,Poing bei München,56000,85000,1,,Lead
12210674,Anwendungsberater (w/m/d) Region Süd,Stihl Vertriebszentrale AG & Co. KG,Dieburg,55000,76000,21,,
12332248,Elektroniker Instandhaltung (w/m/d),Läpple Automotive GmbH,Heilbronn,50000,55000,7,,
12393790,Senior Controlling Business Partner for Data & AI (f/m/d),E.ON Digital Technology GmbH,Essen,63000,84000,1,,Senior
12336854,Medizinisch-technische*r Laboratoriumsassistent*in (MTLA) (m/w/d),LADR Der Laborverbund Dr. Kramer & Kollegen,Hannover,32000,45000,14,,
12336818,Elektroniker*in als Servicetechniker (m/w/d) für Aufzugsanlagen im Raum Ravensburg,C. Haushahn GmbH & Co. KG,Ravensburg,42000,57000,14,,
12273725,Network Security Engineer (m/w/d) - Netzwerk Security Administrator,Ratbacher GmbH,"Frankfurt, Berlin, Dresden, Bonn, Stuttgart, Düsseldorf",44000,67000,7,,
12393198,Senior DevOps Engineer - Edge Data Platform (all genders),Syskron GmbH,Regensburg (Maximilianstraße),71000,93000,1,Data engineer,Senior
11908833,Elektroniker als Servicetechniker im Außendienst | Großküchen mit Servicefahrzeug m/w/d,SPIE Efficient Facilities GmbH,München,37000,56000,14,,
11441670,"Praktikant Mathematiker, Informatiker, Physiker - prüfungsnahe Beratung/Quants (w/m/d)",EY Deutschland,Frankfurt/Main,,,7,,Intern
12431917,Industriemechaniker / Elektroniker / Service-Techniker / Instandhaltung (m/w/d),HAPEKO Deutschland GmbH,Meißenheim,54600,64600,7,,
11920408,Spezialist (w/m/d) für Vertriebsanalysen,Kreissparkasse München Starnberg Ebersberg,München,56000,80000,14,,
11531730,Elektroniker (m/w/d) als Servicetechniker,Burt Daten- und Sicherungssysteme GmbH,"Freiburg (Gundelfingen), Bietigheim-Bissingen",,,14,,
12194117,Medizinischer Technologe für Laboratoriumsanalytik / MTL (m/w/d)  im Bereich Histopathologie,MLL Münchner Leukämielabor GmbH,München,37000,56000,14,,
12245471,MTLA / MTL im Bereich klinische Chemie und Hämatologie (m/w/d),MVZ Ganzimmun GmbH,Mainz,32000,56000,14,,
12328472,Elektroniker (m/w/d) für Instandhaltung und Automatisierungsprojekte,myonic GmbH,Leutkirch im Allgäu,56000,60000,14,,
12274729,IT Software Tester (m/w/d) - Software Test Engineer,Ratbacher GmbH,"München, Stuttgart",46000,65000,7,,
