id,title,company,city,salary_min,salary_max,days_posted
12293092,Search Solutions Engineer,Qdrant Solutions GmbH,Berlin,46.000,65.000,5
12219678,Pre-Sales Solutions Engineer (f/m/d) - Berlin,Hygraph GmbH,Berlin,43.000,61.000,5
12374119,Statistiken der EKD,Bundesverband evangelische Behindertenhilfe e.V.,"Berlin, Deutschland",40.000,60.000,6
12366506,Statistiken der EKD,Hoffnungstaler Stiftung Lobetal,"Bernau bei Berlin, Deutschland",38.000,62.000,7
11972064,Sr. Data Engineering Consultant (m/f/d),M2. technology & project consulting GmbH,Berlin,41.000,59.000,7
12368295,Associate Solutions Engineer - French,NinjaOne GmbH,"Berlin, Germany",42.000,63.000,7
12047546,Data Architect,RepRisk Germany GmbH,Berlin,49.000,68.000,7
12357211,Associate Solutions Engineer - Spanish,NinjaOne GmbH,"Berlin, Germany",42.000,63.000,7
12427606,"Machine Learning Engineer (Python, REST, ML Ops) job at Wasteer in Berlin",Wasteer GmbH,"Berlin, Germany",45.000,66.000,7
12349797,Statistiken der EKD,Diakonie-Pflege Elisabeth gGmbH - Diakonie-Station Pankow,"Berlin, Deutschland",38.000,56.000,7
12272995,Computer scientist in application development at X-Visual,X-Visual Technologies GmbH,"Berlin, Germany",42.000,62.000,7
12340832,Data Architect,RepRisk Germany GmbH,"Berlin, Germany",46.000,68.000,7
12409396,Statistiken der EKD,Wohnstätte Wilhelmine-Striedieck-Haus,"16321 Bernau bei Berlin-Lobetal, Deutschland",36.000,58.000,7
12334270,Statistiken der EKD,Wohnstätte Matthias-Claudius-Haus,"16321 Bernau bei Berlin-Lobetal, Deutschland",36.000,58.000,14
12329045,Statistiken der EKD,WG Wohnverbund Seelbuschring Fürst Donnersmarck-Stiftung,"Seelbuschring, 12105 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland",36.000,58.000,14
11563156,Mitarbeiter Datenanalyse im HomeOffice (m/w/d),Behrend e.K.,Berlin,37.000,51.000,7
12323721,Statistiken der EKD,Diakonie-Pflege Verbund Berlin gGmbH,"Berlin, Deutschland",40.000,60.000,14
12347618,Senior Data Engineer (Data Platform) (m/f/d) job at Researchgate in Berlin,ResearchGate GmbH,"Berlin, Germany",46.000,70.000,7
12368428,Statistiken der EKD,Oberlinhaus,"Potsdam, Deutschland",38.000,58.000,7
12387153,Machine Learning Engineer,greeHill Deutschland GmbH,"Berlin, DE",46.000,63.000,2
12087087,Solutions Engineer,Cozero GmbH,Berlin,46.000,65.000,4
12088657,(Data) Supply Analytics Manager (m / f / d ),Omio Travel GmbH,Berlin,48.000,66.000,4
12280438,Solutions Engineer - Video Streaming (gn),castLabs GmbH,Berlin,46.000,65.000,6
12438464,AdTech Solutions Engineer (d/w/m),Immobilien Scout GmbH,Berlin,46.000,65.000,7
12370810,Senior Data Engineer (d/f/m),Henkel KG,"Berlin, Germany",46.000,70.000,6
12322428,Statistiken der EKD,Gesundheitsakademie Potsdam gemeinnützige GmbH,"Potsdam, Deutschland",46.000,70.000,14
12116954,Senior Data Architect and Team Leader (m / f / d),Omio Travel GmbH,Berlin,55.000,75.000,7
